format,algo,min_bpb_neon,n_rows_git,distinct_seeds_git,distinct_sha_git,max_step_git,synthetic_flag_R7,reason
lns8,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
lns8,lamb,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
lns8,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
lns8,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp4,adamw,6.9785,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp4,muon,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp4,sgdm,6.9999,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp4,lion,6.9922,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp4,adafactor,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp4,lamb,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp4,schedulefree,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp4,rmsprop,6.6771,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp6,adamw,6.9637,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp6,muon,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp6,sgdm,6.9985,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp6,lion,6.9725,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp6,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp6,lamb,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
mxfp6,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
